segment_index,second,n_frames,n_people_avg,n_detections,dominant_activity,dominant_activity_pct,activity_counts,dominant_face,dominant_face_count,ms_detector,ms_bytetrack,ms_pose,ms_body110_har,ms_face_liveness,ms_total,fps_avg
1,1,30,0.0,0,,0.0,,,0,54.63,0.01,,,,58.42,17.12
1,2,30,0.0,0,,0.0,,,0,20.88,0.01,,,,23.99,41.68
